current_region,conditioned_prediction,next_region,error_count
26,27,25,1767
14,15,13,1392
15,16,14,1376
9,10,8,1344
27,26,28,1192
8,9,7,1112
21,22,20,1087
10,11,9,1041
7,8,6,957
15,16,21,931
16,17,15,928
6,12,7,923
13,14,19,921
14,15,20,904
25,26,24,866
20,21,19,863
16,17,22,854
21,22,27,850
13,14,12,821
21,22,15,815
7,8,13,768
22,23,28,742
24,25,18,741
22,23,21,728
20,21,26,720
9,10,15,719
26,27,20,708
22,23,16,691
28,27,29,681
12,18,13,670
10,11,16,661
18,19,24,658
19,18,20,634
19,18,25,632
20,21,14,628
15,16,9,627
25,26,19,625
12,13,18,612
13,12,14,592
14,15,8,576
27,28,26,567
8,9,14,560
12,18,6,557
17,23,16,541
13,14,7,538
11,10,17,531
18,19,12,524
25,24,26,524
19,20,18,517
17,23,11,502
16,17,10,498
28,27,22,483
17,16,23,462
19,18,13,446
20,19,21,442
11,17,10,422
23,17,29,404
25,24,19,386
23,29,17,384
8,7,9,383
7,6,8,381
19,20,25,358
27,26,21,352
23,17,22,350
23,29,22,332
18,12,19,326
13,12,19,325
17,16,11,324
26,27,32,321
18,12,24,321
6,12,0,312
19,20,13,307
25,26,31,304
16,22,15,304
0,1,6,303
12,13,6,301
20,19,14,297
14,15,16,295
16,22,17,294
27,28,21,292
15,16,20,286
9,10,16,286
28,29,22,284
2,3,1,283
30,31,24,277
29,23,28,276
14,13,15,275
21,22,16,275
18,24,19,273
7,6,13,270
6,7,12,269
8,9,10,265
9,10,14,265
32,33,31,264
21,22,26,263
31,32,30,263
1,2,0,261
13,12,7,261
21,22,14,260
6,12,11,259
26,27,19,258
15,16,22,256
26,27,21,249
28,29,34,249
20,19,26,248
10,11,17,247
16,17,11,247
18,24,12,245
26,27,28,243
15,16,13,242
14,15,9,239
24,25,19,238
29,28,23,238
10,11,8,232
22,21,16,230
8,9,13,228
15,16,8,227
16,17,14,226
28,29,27,225
24,25,26,223
19,13,20,220
9,10,7,220
1,2,7,220
8,9,15,219
14,15,19,216
34,35,33,214
7,8,9,213
24,25,30,211
20,21,15,211
32,33,26,211
20,21,25,210
10,11,4,208
27,26,22,207
14,15,21,206
13,14,8,205
16,17,21,203
34,35,28,201
13,14,18,200
13,14,15,200
