image_name,image_type,n_test_transitions,global_accuracy,markov_accuracy,conditioned_accuracy,conditioned_gain_pp
00108924005661.png,line,268,0.0037313432835820895,0.26492537313432835,0.3246268656716418,5.970149253731344
00268016000832.png,line,243,0.012345679012345678,0.23868312757201646,0.24691358024691357,0.823045267489711
01001540004358.png,line,314,0.022292993630573247,0.3184713375796178,0.35668789808917195,3.821656050955413
02108983001245.png,h_bar,96,0.010416666666666666,0.13541666666666666,0.2708333333333333,13.541666666666666
04533011002348.png,line,265,0.0037735849056603774,0.3283018867924528,0.35471698113207545,2.6415094339622636
04784450006294.png,line,391,0.0025575447570332483,0.1918158567774936,0.2506393861892583,5.882352941176469
04902692006383.png,line,288,0.03125,0.3472222222222222,0.3125,-3.472222222222221
04910323003738.png,h_bar,123,0.024390243902439025,0.13821138211382114,0.13008130081300814,-0.8130081300812997
04960398003730.png,h_bar,156,0.00641025641025641,0.16025641025641027,0.21153846153846154,5.128205128205127
05411753006467.png,h_bar,115,0.0,0.20869565217391303,0.2956521739130435,8.695652173913047
05516045003357.png,h_bar,110,0.00909090909090909,0.39090909090909093,0.20909090909090908,-18.181818181818183
05661573006964.png,h_bar,105,0.05714285714285714,0.13333333333333333,0.3142857142857143,18.095238095238095
05705464003735.png,line,200,0.025,0.395,0.43,3.4999999999999973
05810070001466.png,h_bar,131,0.13740458015267176,0.21374045801526717,0.20610687022900764,-0.7633587786259527
06570645001901.png,h_bar,88,0.2840909090909091,0.09090909090909091,0.03409090909090909,-5.6818181818181825
06726273005613.png,h_bar,172,0.03488372093023256,0.13953488372093023,0.19767441860465115,5.813953488372093
07339205003514.png,line,284,0.0528169014084507,0.28169014084507044,0.24295774647887325,-3.873239436619719
07439396000076.png,h_bar,124,0.016129032258064516,0.04032258064516129,0.08064516129032258,4.032258064516129
08501617009882.png,h_bar,132,0.007575757575757576,0.11363636363636363,0.19696969696969696,8.333333333333332
08524901006324.png,line,322,0.006211180124223602,0.27639751552795033,0.2919254658385093,1.552795031055898
08688106002770.png,h_bar,137,0.072992700729927,0.13138686131386862,0.11678832116788321,-1.459854014598541
08760254021671.png,line,421,0.011876484560570071,0.2209026128266033,0.20190023752969122,-1.9002375296912093
08995001000112.png,h_bar,98,0.12244897959183673,0.19387755102040816,0.20408163265306123,1.0204081632653073
08995001000204.png,h_bar,320,0.090625,0.221875,0.146875,-7.499999999999998
09611732006613.png,h_bar,129,0.015503875968992248,0.08527131782945736,0.08527131782945736,0.0
10100.png,h_bar,326,0.024539877300613498,0.2392638036809816,0.24846625766871167,0.9202453987730064
10101.png,h_bar,309,0.009708737864077669,0.22006472491909385,0.16828478964401294,-5.17799352750809
10119.png,h_bar,471,0.027600849256900213,0.34394904458598724,0.3524416135881104,0.849256900212314
10146.png,line,445,0.0853932584269663,0.30112359550561796,0.2898876404494382,-1.1235955056179747
10148.png,h_bar,276,0.036231884057971016,0.23550724637681159,0.21014492753623187,-2.536231884057971
10150.png,h_bar,248,0.07661290322580645,0.17338709677419356,0.20967741935483872,3.6290322580645156
10152.png,h_bar,213,0.028169014084507043,0.24413145539906103,0.2300469483568075,-1.408450704225353
10160.png,h_bar,111,0.0,0.1981981981981982,0.21621621621621623,1.801801801801803
10184.png,line,399,0.05263157894736842,0.2681704260651629,0.2907268170426065,2.2556390977443606
10187447002633.png,h_bar,94,0.0,0.11702127659574468,0.1595744680851064,4.255319148936171
10223.png,h_bar,344,0.061046511627906974,0.27906976744186046,0.24127906976744187,-3.7790697674418587
10243.png,line,161,0.07453416149068323,0.2546583850931677,0.2422360248447205,-1.2422360248447173
10249312005004.png,line,379,0.0079155672823219,0.25857519788918204,0.23746701846965698,-2.1108179419525057
10432.png,line,595,0.03529411764705882,0.24201680672268908,0.28403361344537814,4.201680672268907
10451.png,line,423,0.07092198581560284,0.26004728132387706,0.25059101654846333,-0.9456264775413725
10461.png,h_bar,246,0.036585365853658534,0.21951219512195122,0.25203252032520324,3.2520325203252014
10462.png,h_bar,208,0.009615384615384616,0.2403846153846154,0.2692307692307692,2.884615384615383
10498.png,line,560,0.04642857142857143,0.3,0.3517857142857143,5.178571428571432
10508.png,pie,164,0.054878048780487805,0.15853658536585366,0.23170731707317074,7.3170731707317085
10597.png,h_bar,286,0.01048951048951049,0.34615384615384615,0.34265734265734266,-0.3496503496503489
10653.png,h_bar,145,0.013793103448275862,0.33793103448275863,0.31724137931034485,-2.068965517241378
10688218006528.png,h_bar,88,0.0,0.10227272727272728,0.17045454545454544,6.818181818181817
10707.png,pie,183,0.00546448087431694,0.12021857923497267,0.15300546448087432,3.278688524590165
1072.png,pie,346,0.07514450867052024,0.23410404624277456,0.3063583815028902,7.225433526011563
10735.png,h_bar,296,0.0472972972972973,0.19594594594594594,0.24662162162162163,5.067567567567568
10751.png,h_bar,125,0.032,0.184,0.208,2.3999999999999995
10771.png,h_bar,404,0.03712871287128713,0.26485148514851486,0.297029702970297,3.2178217821782154
10774.png,h_bar,248,0.012096774193548387,0.25,0.25806451612903225,0.8064516129032251
10812.png,pie,199,0.05025125628140704,0.1407035175879397,0.2663316582914573,12.562814070351758
1082.png,h_bar,311,0.003215434083601286,0.3408360128617363,0.40192926045016075,6.109324758842444
10849.png,pie,447,0.024608501118568233,0.24608501118568232,0.2662192393736018,2.013422818791949
10854.png,pie,325,0.08615384615384615,0.18769230769230769,0.27384615384615385,8.615384615384617
10875.png,h_bar,183,0.00546448087431694,0.3224043715846995,0.22404371584699453,-9.836065573770494
1101.png,h_bar,269,0.01486988847583643,0.3643122676579926,0.3903345724907063,2.6022304832713727
11056428023649.png,line,171,0.0,0.1695906432748538,0.28654970760233917,11.695906432748536
11067.png,h_bar,406,0.08620689655172414,0.22167487684729065,0.21674876847290642,-0.49261083743842304
11069.png,pie,177,0.02824858757062147,0.2033898305084746,0.3163841807909605,11.299435028248588
11128.png,h_bar,121,0.09090909090909091,0.2396694214876033,0.2975206611570248,5.785123966942149
11130.png,pie,140,0.007142857142857143,0.2642857142857143,0.35714285714285715,9.285714285714286
1123.png,pie,224,0.049107142857142856,0.25892857142857145,0.3482142857142857,8.928571428571425
11279.png,pie,133,0.06015037593984962,0.15037593984962405,0.19548872180451127,4.511278195488721
11320.png,pie,274,0.08394160583941605,0.17518248175182483,0.19343065693430658,1.8248175182481758
11495956000050.png,line,233,0.008583690987124463,0.37339055793991416,0.3905579399141631,1.716738197424894
116.png,h_bar,294,0.05442176870748299,0.24829931972789115,0.2755102040816326,2.7210884353741474
11651.png,pie,286,0.01048951048951049,0.1853146853146853,0.2867132867132867,10.13986013986014
117.png,h_bar,254,0.11023622047244094,0.2283464566929134,0.2283464566929134,0.0
11762.png,pie,169,0.10059171597633136,0.16568047337278108,0.21301775147928995,4.733727810650887
