image_name,image_type
multi_col_18.png,v_bar
85924056007438.png,line
65032629000853.png,h_bar
OECD_INFANT_MORTALITY_RATES_EST_NZL_000048.png,v_bar
7702.png,h_bar
10365.png,pie
4605.png,line
3608.png,h_bar
16513.png,pie
multi_col_1249.png,v_bar
multi_col_1251.png,v_bar
21751717005969.png,h_bar
OECD_FREIGHT_TRANSPORT_FIN_HUN_IND_PRT_RUS_000027.png,v_bar
multi_col_100081.png,v_bar
6905.png,line
8124.png,h_bar
multi_col_20248.png,h_bar
multi_col_434.png,h_bar
69203350003800.png,h_bar
4027.png,h_bar
two_col_20522.png,pie
7726.png,h_bar
two_col_43526.png,pie
multi_col_20578.png,v_bar
7727.png,h_bar
4171.png,pie
multi_col_969.png,v_bar
multi_col_80333.png,v_bar
multi_col_60027.png,v_bar
71715124005162.png,line
10457.png,h_bar
6246.png,h_bar
03666641001319.png,h_bar
9875.png,h_bar
43886114007807.png,h_bar
8342.png,h_bar
17245998006022.png,h_bar
12677.png,pie
4502.png,h_bar
92889306003474.png,h_bar
multi_col_40730.png,v_bar
5232.png,h_bar
multi_col_60838.png,v_bar
8827.png,h_bar
7533.png,h_bar
OECD_LABOUR_FORCE_FORECAST_AUS_FRA_000012.png,v_bar
16077211005237.png,h_bar
22081073006996.png,h_bar
multi_col_20535.png,line
4566.png,h_bar
39727570004541.png,h_bar
multi_col_805.png,h_bar
multi_col_60698.png,v_bar
multi_col_869.png,h_bar
1433.png,h_bar
64970172000121.png,h_bar
6052.png,h_bar
multi_col_793.png,v_bar
3082.png,h_bar
3597.png,h_bar
two_col_81854.png,v_bar
5793.png,h_bar
73300861001528.png,h_bar
21129205006635.png,line
multi_col_60974.png,v_bar
9344.png,h_bar
12814.png,pie
multi_col_1367.png,v_bar
multi_col_80102.png,v_bar
1367.png,h_bar
3231.png,h_bar
4876.png,line
two_col_41834.png,pie
two_col_24642.png,pie
multi_col_60531.png,h_bar
two_col_20869.png,pie
7432.png,h_bar
5195.png,h_bar
multi_col_80452.png,line
2902.png,h_bar
26282467018528.png,line
8396.png,h_bar
265.png,h_bar
566.png,h_bar
75128429008407.png,h_bar
24917700004089.png,line
multi_col_100273.png,h_bar
two_col_62140.png,v_bar
11235.png,pie
20294671002016.png,line
two_col_100493.png,h_bar
multi_col_1014.png,v_bar
76439343002372.png,line
multi_col_28.png,v_bar
92946391006518.png,h_bar
7395.png,pie
285.png,h_bar
30118846002383.png,h_bar
1264.png,h_bar
two_col_62569.png,line
12501.png,line
24441478018800.png,h_bar
4608.png,h_bar
12113.png,pie
multi_col_100876.png,v_bar
11925.png,line
2529.png,pie
14189.png,line
multi_col_20453.png,v_bar
10571.png,line
two_col_100412.png,h_bar
90486785022154.png,h_bar
17432.png,line
16005.png,pie
1382.png,h_bar
41436572009068.png,h_bar
two_col_102450.png,v_bar
5962.png,h_bar
7543.png,h_bar
multi_col_849.png,v_bar
12257385003566.png,h_bar
8324.png,h_bar
multi_col_201.png,v_bar
3447.png,pie
9815.png,line
14914.png,pie
multi_col_41011.png,h_bar
16918615006190.png,h_bar
11147.png,line
3742.png,h_bar
multi_col_60240.png,v_bar
1910.png,h_bar
multi_col_60860.png,v_bar
7337.png,h_bar
multi_col_60444.png,v_bar
14907.png,pie
52368213001399.png,h_bar
17028.png,pie
23326450006962.png,h_bar
10239.png,line
5458.png,h_bar
multi_col_60316.png,v_bar
two_col_61646.png,line
2341.png,h_bar
multi_col_20278.png,v_bar
16008.png,pie
multi_col_20448.png,v_bar
14780.png,pie
39947264017438.png,h_bar
7555.png,h_bar
multi_col_60623.png,v_bar
266.png,h_bar
769.png,h_bar
15059.png,line
88171914006855.png,h_bar
10149.png,line
